               SPY     IBM       SMA  Rolling Std Upper  Rolling Std Lower  \
2007-12-31  133.32   99.27       NaN                NaN                NaN   
2008-01-02  132.15   96.14       NaN                NaN                NaN   
2008-01-03  132.09   96.34       NaN                NaN                NaN   
2008-01-04  128.85   92.87       NaN                NaN                NaN   
2008-01-07  128.74   91.88       NaN                NaN                NaN   
2008-01-08  126.66   89.62       NaN                NaN                NaN   
2008-01-09  127.99   90.28       NaN                NaN                NaN   
2008-01-10  128.83   91.76       NaN                NaN                NaN   
2008-01-11  127.79   89.70       NaN                NaN                NaN   
2008-01-14  128.82   94.53       NaN                NaN                NaN   
2008-01-15  125.99   93.52       NaN                NaN                NaN   
2008-01-16  124.90   93.33       NaN                NaN                NaN   
2008-01-17  121.67   92.85       NaN                NaN                NaN   
2008-01-18  120.42   94.96       NaN                NaN                NaN   
2008-01-22  119.19   92.96       NaN                NaN                NaN   
2008-01-23  122.06   97.44       NaN                NaN                NaN   
2008-01-24  123.09   98.18       NaN                NaN                NaN   
2008-01-25  121.31   95.99       NaN                NaN                NaN   
2008-01-28  123.32   96.41       NaN                NaN                NaN   
2008-01-29  123.93   97.44   94.2735          99.964258          88.582742   
2008-01-30  123.01   97.02   94.1610          99.514849          88.807151   
2008-01-31  125.26   98.36   94.2720          99.884417          88.659583   
2008-02-01  127.27  100.17   94.4635         100.609062          88.317938   
2008-02-04  125.67   99.12   94.7760         101.209273          88.342727   
2008-02-05  122.30   96.45   95.0045         101.328381          88.680619   
2008-02-06  121.32   95.50   95.2985         101.092934          89.504066   
2008-02-07  122.12   94.34   95.5015         100.820634          90.182366   
2008-02-08  121.34   95.20   95.6735         100.697507          90.649493   
2008-02-11  121.96   96.92   96.0345         100.218623          91.850377   
2008-02-12  123.09   98.21   96.2185         100.447469          91.989531   
2008-02-13  124.35   99.95   96.5400         100.881351          92.198649   
2008-02-14  123.25   97.84   96.7655         100.866686          92.664314   
2008-02-15  123.22   97.87   97.0165         100.702104          93.330896   
2008-02-19  123.57   96.80   97.1085         100.667650          93.549350   
2008-02-20  123.94   99.42   97.4315         100.550787          94.312213   
2008-02-21  122.91   98.57   97.4880         100.648597          94.327403   
2008-02-22  123.66   99.63   97.5605         100.851755          94.269245   
2008-02-25  125.22  101.48   97.8350         101.472312          94.197688   
2008-02-26  126.16  105.44   98.2865         103.197734          93.375266   
2008-02-27  126.03  107.36   98.7825         105.128034          92.436966   
2008-02-28  124.80  106.24   99.2435         106.344576          92.142424   
2008-02-29  122.02  104.96   99.5735         107.102250          92.044750   
2008-03-03  121.73  105.30   99.8300         107.781974          91.878026   
2008-03-04  121.26  106.67  100.2075         108.714987          91.700013   
2008-03-05  122.03  106.37  100.7035         109.442158          91.964842   
2008-03-06  119.50  103.73  101.1150         109.593161          92.636839   
2008-03-07  118.27  105.04  101.6500         109.665863          93.634137   
2008-03-10  116.71  105.10  102.1450         109.692831          94.597169   
2008-03-11  120.91  107.39  102.6685         110.142450          95.194550   
2008-03-12  119.78  107.92  103.1540         110.669885          95.638115   
2008-03-13  120.04  106.85  103.4990         111.029077          95.968923   
2008-03-14  118.18  106.23  103.9185         111.045162          96.791838   
2008-03-17  116.99  106.52  104.3510         110.963454          97.738546   
2008-03-18  121.85  109.16  104.9690         110.883513          99.054487   
2008-03-19  118.83  107.80  105.3880         110.814522          99.961478   
2008-03-20  121.03  109.08  105.9135         110.536023         101.290977   
2008-03-24  123.45  109.76  106.4200         110.304626         102.535374   
2008-03-25  123.57  108.75  106.7835         110.029928         103.537072   
2008-03-26  122.06  107.78  106.9005         110.111530         103.689470   
2008-03-27  121.67  106.49  106.8570         110.065391         103.648609   
2008-03-28  120.51  105.62  106.8260         110.071261         103.580739   
2008-03-31  120.93  106.14  106.8850         110.028739         103.741261   
2008-04-01  125.18  107.39  106.9895         110.049225         103.929775   
2008-04-02  125.26  105.84  106.9480         110.048218         103.847782   
2008-04-03  125.58  106.95  106.9770         110.065281         103.888719   
2008-04-04  125.44  106.71  107.1260         109.816618         104.435382   
2008-04-07  125.50  107.22  107.2350         109.740031         104.729969   
2008-04-08  125.37  107.19  107.3395         109.635148         105.043852   
2008-04-09  124.47  107.65  107.3525         109.652293         105.052707   
2008-04-10  124.64  109.50  107.4315         109.914616         104.948384   
2008-04-11  122.22  106.94  107.4360         109.915001         104.956999   
2008-04-14  121.81  108.12  107.5305         109.959522         105.101478   
2008-04-15  122.09  108.01  107.6050         109.994605         105.215395   
2008-04-16  125.40  111.06  107.7000         110.470598         104.929402   
