Date,Symbol,Order,Shares
2010-02-16,IBM,SELL,100
2010-02-17,IBM,BUY,100
2010-03-04,IBM,BUY,100
2010-03-17,IBM,SELL,100
2010-03-19,IBM,BUY,100
2010-04-15,IBM,SELL,100
2010-04-19,IBM,BUY,100
2010-05-12,IBM,SELL,100
2010-05-14,IBM,BUY,100
2010-06-07,IBM,SELL,100
2010-06-09,IBM,SELL,100
2010-06-11,IBM,BUY,100
2010-07-15,IBM,SELL,100
2010-07-19,IBM,BUY,100
2010-08-05,IBM,BUY,100
2010-09-01,IBM,SELL,100
2010-09-03,IBM,SELL,100
2010-09-10,IBM,BUY,100
2010-09-21,IBM,BUY,100
2010-10-19,IBM,SELL,100
2010-10-21,IBM,BUY,100
2010-11-01,IBM,SELL,100
2010-11-03,IBM,BUY,100
2010-12-06,IBM,SELL,100
2010-12-08,IBM,SELL,100
2010-12-09,IBM,BUY,100
2010-12-28,IBM,BUY,100
